name,first,address,city,province,country,zipcode,lan,lat,stars,description
金鸡湖景区,j,金鸡湖一号,苏州市,江苏省,中国,215021,126.123456,39.012332,5,金鸡湖景区描述
拙政园,z,江苏省苏州市平江区东北街178号,苏州市,江苏省,中国,215021,126.123456,39.012332,5,江南园林代表，苏州园林中面积最大的古典山水园林之一!
白马涧龙池景区,b,江苏省苏州市高新区枫桥街道西部白马涧生态园龙池风景区,苏州市,江苏省,中国,215021,126.123456,39.012332,4,三山相拥白马涧，天地灵气聚龙池！
苏州乐园,s,江苏省苏州新区长江路397号,苏州市,江苏省,中国,215021,126.123456,39.012332,4,“东方迪斯尼”适合全家游玩！欢乐假期的天堂
同里古镇,t,江苏省苏州市吴江区同里古镇景区,苏州市,江苏省,中国,215021,126.123456,39.012332,5,典型江南水乡风格的古镇
摩天轮公园,m,江苏省苏州工业园区现代休闲广场南侧，金鸡湖的边上摩天轮景区,苏州市,江苏省,中国,215021,126.123456,39.012332,0,苏州摩天轮乐园有多个游乐设施
苏迪糖果乐园,s,江苏省苏州市新区玉山路162号苏州乐园水上世界商业广场A区,苏州市,江苏省,中国,215021,126.123456,39.012332,5,孩童欢乐徜徉的海洋
周庄,z,江苏省苏州市昆山周庄全福路43号,苏州市,江苏省,中国,215021,126.123456,39.012332,5,江南六大古镇之一，于2003年被评为中国历史文化名镇
苏州古运河,s,江苏省苏州市盘胥路798号,苏州市,江苏省,中国,215021,126.123456,39.012332,0,苏州专业的古城水上游
狮子林,s,江苏省苏州市平江区园林路23号,苏州市,江苏省,中国,215021,126.123456,39.012332,4,狮子林为苏州四大名园之一
虎丘,h,江苏省苏州市虎丘区山门内八号,苏州市,江苏省,中国,215021,126.123456,39.012332,5,秀美的景色，悠久的历史文化景观
沙家浜,s,江苏省苏州市常熟沙家浜风景区,苏州市,江苏省,中国,215021,126.123456,39.012332,5,阳澄湖大闸蟹，吃货必选之地
重元寺,c,江苏省苏州工业园区唯亭阳澄湖半岛慈云路333号,苏州市,江苏省,中国,215021,126.123456,39.012332,4,国内最高的水上观音阁之一 46米
留园,l,江苏省苏州市金阊区留园路338号,苏州市,江苏省,中国,215021,126.123456,39.012332,5,与苏州拙政园、北京颐和园、承德避暑山庄并称中国四大名园
尚湖风景区,s,江苏省常熟市尚湖风景区,苏州市,江苏省,中国,215021,126.123456,39.012332,5,临山孕湖，与古城浑然一体，含山川之秀